paypal.com,AMN,UF,UF
paypal.net,AMN,UF,UF
paypal.org,AMN,UF,UF
paypal.us,AMN,UF,UF
paypal.eu,AMN,UF,UF
paypal.me,AMN,UF,UF
paypalobjects.com,AMN,UF,UF
paypal-communication.com,AMN,UF,UF
paypal-community.com,AMN,UF,UF
paypal-support.com,AMN,UF,UF
paypal-techsupport.com,AMN,UF,UF
paypal-prepaid.com,AMN,UF,UF
paypal-prepagata.com,AMN,UF,UF
paypal-corp.com,AMN,UF,UF
pypl.com,AMN,UF,UF
paypal.at,AMN,UF,UF
paypal.be,AMN,UF,UF
paypal.ca,AMN,UF,UF
paypal.ch,AMN,UF,UF
paypal.cl,AMN,UF,UF
paypal.cn,AMN,UF,UF
paypal.com.cn,AMN,UF,UF
paypal.co.il,AMN,UF,UF
paypal.co.in,AMN,UF,UF
paypal.in,AMN,UF,UF
paypal.co.nz,AMN,UF,UF
paypal.co.th,AMN,UF,UF
paypal.co.uk,AMN,UF,UF
paypal.co.za,AMN,UF,UF
paypal.com.ar,AMN,UF,UF
paypal.com.au,AMN,UF,UF
paypal.com.br,AMN,UF,UF
paypal.com.es,AMN,UF,UF
paypal.es,AMN,UF,UF
paypal.com.hk,AMN,UF,UF
paypal.com.mx,AMN,UF,UF
paypal.mx,AMN,UF,UF
paypal.com.pt,AMN,UF,UF
paypal.pt,AMN,UF,UF
paypal.com.sa,AMN,UF,UF
paypal.com.sg,AMN,UF,UF
paypal.sg,AMN,UF,UF
paypal.com.tr,AMN,UF,UF
paypal.com.tw,AMN,UF,UF
paypal.com.ve,AMN,UF,UF
paypal.de,AMN,UF,UF
paypal.dk,AMN,UF,UF
paypal.fi,AMN,UF,UF
paypal.fr,AMN,UF,UF
paypal.ie,AMN,UF,UF
paypal.it,AMN,UF,UF
paypal.jp,AMN,UF,UF
paypal.lu,AMN,UF,UF
paypal.nl,AMN,UF,UF
paypal.no,AMN,UF,UF
paypal.ph,AMN,UF,UF
paypal.pl,AMN,UF,UF
paypal.se,AMN,UF,UF
paypal.co.id,AMN,UF,UF
paypal.com.my,AMN,UF,UF
